"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_narrator_service.py", "Python", 162, 32, 57, 251
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_oracle_executor.py", "Python", 123, 28, 57, 208
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_orchestrator_execution_guard.py", "Python", 46, 0, 11, 57
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_orchestrator_llm_flow.py", "Python", 149, 43, 54, 246
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_orchestrator_smoke.py", "Python", 449, 55, 104, 608
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_plan_normalizer.py", "Python", 429, 36, 77, 542
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_planner_hybrid.py", "Python", 458, 62, 103, 623
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_planner_hybrid_eval_coverage.py", "Python", 146, 21, 37, 204
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_planner_models.py", "Python", 152, 27, 64, 243
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_planner_service.py", "Python", 334, 48, 98, 480
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_planning_stages.py", "Python", 273, 0, 41, 314
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_prompt_budget.py", "Python", 365, 64, 60, 489
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_query_plan_repair.py", "Python", 134, 0, 35, 169
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_query_plan_repair_extended.py", "Python", 118, 2, 28, 148
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_query_understanding.py", "Python", 61, 7, 31, 99
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_registry_validator.py", "Python", 382, 49, 64, 495
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_relationship_graph.py", "Python", 112, 26, 27, 165
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_repair_engine_expansion.py", "Python", 47, 0, 14, 61
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_retrieval_upgrade.py", "Python", 199, 33, 60, 292
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_sample_data_smoke.py", "Python", 46, 15, 21, 82
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_schema_alias_normalization.py", "Python", 37, 0, 13, 50
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_schema_retrieval.py", "Python", 146, 39, 62, 247
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_select_columns_defaults.py", "Python", 220, 48, 54, 322
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_semantic_loader.py", "Python", 162, 28, 31, 221
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_semantic_planning.py", "Python", 134, 1, 17, 152
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_semantic_registry.py", "Python", 209, 49, 78, 336
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_semantic_repository.py", "Python", 146, 9, 26, 181
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_session_service.py", "Python", 128, 15, 51, 194
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_sprint_c.py", "Python", 391, 48, 97, 536
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_sql_compiler.py", "Python", 644, 79, 126, 849
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_startup_wiring.py", "Python", 176, 66, 45, 287
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_structured_output_firewall.py", "Python", 40, 0, 19, 59
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_validation_service.py", "Python", 536, 67, 124, 727
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\utils\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\utils\text_normalization.py", "Python", 25, 17, 18, 60
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\utils\turkish.py", "Python", 31, 18, 12, 61
"Total", "-", 23394, 4927, 5213, 33534
