Date : 2026-03-29 18:46:47
Directory : c:\Users\furkan.kiraz\Desktop\nl2sql\app
Total : 176 files,  39356 codes, 6082 comments, 7801 blanks, all 53239 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\retrieval\embedding_retriever.py       | Python   |        109 |         24 |         21 |        154 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\retrieval\gating_policy.py             | Python   |         45 |         72 |         15 |        132 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\retrieval\hybrid_retriever.py          | Python   |         92 |         43 |         20 |        155 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\retrieval\in_memory_doc_retriever.py   | Python   |        142 |         55 |         40 |        237 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\retrieval\in_memory_retriever.py       | Python   |        298 |         81 |         57 |        436 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\run_store.py                           | Python   |        558 |         79 |         63 |        700 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\semantic\__init__.py                             | Python   |          0 |         14 |          1 |         15 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\semantic\loader.py                               | Python   |         60 |         45 |         18 |        123 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\semantic\models.py                               | Python   |         92 |         37 |         37 |        166 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\semantic\registry.py                             | Python   |        156 |        119 |         47 |        322 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\semantic\repository.py                           | Python   |        311 |         32 |         49 |        392 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\__init__.py                             | Python   |          0 |          0 |          1 |          1 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\catalog_embedding_indexer.py            | Python   |        157 |         69 |         38 |        264 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\catalog_service.py                      | Python   |         58 |         33 |         16 |        107 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\clarification_decision_service.py       | Python   |        284 |          7 |         30 |        321 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\clarification_state_manager.py          | Python   |        262 |         47 |         37 |        346 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\document_retrieval_service.py           | Python   |        284 |         46 |         43 |        373 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\example_embedding_indexer.py            | Python   |        164 |          6 |         31 |        201 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\execution_risk.py                       | Python   |        156 |          1 |         35 |        192 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\filter_column_resolution_service.py     | Python   |        325 |        129 |         54 |        508 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\filter_value_profile_provider.py        | Python   |        147 |          0 |         22 |        169 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\filter_value_resolution_service.py      | Python   |        631 |         32 |         53 |        716 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\grounding_config_provider.py            | Python   |        139 |        102 |         50 |        291 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\intent_guard.py                         | Python   |        346 |         22 |         66 |        434 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\metadata_ingestion_service.py           | Python   |        132 |         61 |         26 |        219 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\narrator_service.py                     | Python   |        512 |         56 |         63 |        631 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\orchestrator.py                         | Python   |      1,258 |        124 |        112 |      1,494 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\plan_generation_service.py              | Python   |         18 |          2 |          6 |         26 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\plan_normalization_service.py           | Python   |         39 |          2 |         10 |         51 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\plan_normalizer.py                      | Python   |        624 |        134 |         81 |        839 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\plan_repair_service.py                  | Python   |         14 |          2 |          6 |         22 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\planner_service.py                      | Python   |        561 |         96 |         59 |        716 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\planning_context_service.py             | Python   |        197 |          7 |         35 |        239 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\planning_models.py                      | Python   |        233 |         15 |         68 |        316 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\prompt_assembly_service.py              | Python   |        105 |          8 |         14 |        127 |
